disease	alpha	l1_ratio	pearson_r	mse	r2	model_run	r2_mean	pearson_r_mean	mse_mean
AD	3.5938136638046294	0.05	0.0	21.51657249576213	-0.0038203864661257025	3.59381-0.05000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.5938136638046294	0.05	0.0	23.09760275331744	-3.297512566002858e-05	3.59381-0.05000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.5938136638046294	0.05	0.0	21.35773117752542	-0.000469847826229719	3.59381-0.05000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.5938136638046294	0.05	0.0	22.1320625611756	-8.380306515398672e-08	3.59381-0.05000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.5938136638046294	0.01	0.0	22.607022476973597	-1.2422945250945006e-05	3.59381-0.01000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.5938136638046294	0.01	0.0	23.618080745425416	-5.8759763266857945e-05	3.59381-0.01000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.5938136638046294	0.01	0.0	21.447697780251385	-0.007087533613738595	3.59381-0.01000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.5938136638046294	0.01	0.0	23.642325843523572	-0.00031252776427415085	3.59381-0.01000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.5938136638046294	0.01	0.0	21.96563997268138	-0.0017954129892410187	3.59381-0.01000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.5938136638046294	0.01	0.0	23.16634257117313	-0.0033499934057967806	3.59381-0.01000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.5938136638046294	0.01	0.0	21.51657249576213	-0.0038203864661257025	3.59381-0.01000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.5938136638046294	0.01	0.0	23.09760275331744	-3.297512566002858e-05	3.59381-0.01000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.5938136638046294	0.01	0.0	21.35773117752542	-0.000469847826229719	3.59381-0.01000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.5938136638046294	0.01	0.0	22.1320625611756	-8.380306515398672e-08	3.59381-0.01000	-0.0016939943702648952	0.0	22.455107837780908
AD	3.5938136638046294	0.005	0.05670631716293923	22.606993573316018	-1.1144403741170095e-05	3.59381-0.00500	-0.001692810744555706	0.05469231590279757	22.455081366716477
AD	3.5938136638046294	0.005	0.016942874517346048	23.61806172513743	-5.7954388527958756e-05	3.59381-0.00500	-0.001692810744555706	0.05469231590279757	22.455081366716477
AD	3.5938136638046294	0.005	0.09020625153181233	21.447669297375167	-0.007086196185831062	3.59381-0.00500	-0.001692810744555706	0.05469231590279757	22.455081366716477
AD	3.5938136638046294	0.005	0.06476822225021793	23.64230408373103	-0.0003116071021858069	3.59381-0.00500	-0.001692810744555706	0.05469231590279757	22.455081366716477
AD	3.5938136638046294	0.005	0.07077173108425372	21.965624068057036	-0.0017946876209051776	3.59381-0.00500	-0.001692810744555706	0.05469231590279757	22.455081366716477
