brain_astrocytes	brain_inhibitory.neurons	brain_excitatory.neurons	brain_oligodendrocyte.precursor.cells	testis_early.spermatids	liver_plasma.cells	stomach_fibroblasts	brain_microglial.cells	eye_cone.photoreceptor.cells	esophagus_fibroblasts	eye_bipolar.cells	eye_muller.glia.cells	eye_horizontal.cells	lung_ciliated.cells	placenta_fibroblasts	liver_smooth.muscle.cells	liver_cholangiocytes	disease
0.0006283161172943175	0.0014020428425565894	0.0018572084133252134	0.0009172390583516728	0.001768806052836076	0.00018973720166688866	6.121732506216277e-05	0.00014037922187358485	0.0003296521048143517	7.702804377531068e-05	0.0001783447866085958	0.00012014449727390007	0.0001501154812139097	0.0003016076234571394	0.00012810264539039437	3.294546663380443e-06	0.00014861096364536424	AD
0.0006177227829467342	0.001297659012889453	0.00166783276482019	0.0008966452901146662	0.001852749066156825	0.00016675083792065846	7.605485239340834e-05	0.00014276305642174584	0.00028829714811406617	0.00011660908459063943	0.00017420206016807954	0.0001336679903889063	0.00014300659918731667	0.00017203665583569926	0.000261062611732852	2.5066756658606123e-05	0.00015818452457554757	AD
0.0006155388802737934	0.001387868454826427	0.001811097160786297	0.0010056308230455828	0.0017069170573807127	0.0001835671796012649	4.207752639332965e-05	0.00016316325027898368	0.00033162339519107644	4.794128422655286e-05	0.00018769135828554558	0.0001474130000511635	0.00018046526466823073	0.00023342381273881274	0.00018226794614976662	1.2092357912906691e-05	0.00017371535796178802	AD
0.0005939779741769368	0.001231156639470207	0.0018441393787232497	0.0008898091752799311	0.0019264715377737699	7.729154381192621e-05	0.00010455840069321881	9.447448048416122e-05	0.00032426939010086374	0.00011335503712105813	0.0001718971576405522	0.0001596998523473211	0.00014070150651853796	0.00024237081743396549	8.072210996511594e-05	3.3228495376878374e-05	0.00010533434569523309	AD
0.0006511932051083251	0.0014178458120517534	0.0019145425922073027	0.0009736378361579737	0.001999884853138461	0.00017777337398497533	8.163442048031444e-05	0.0001490355076757032	0.00030730144291866204	0.00011887230635563469	0.00015245055104114164	0.00014941354441430082	0.00013074238079204955	0.00025167659375903515	0.00021670776219483994	1.2210147004800575e-05	0.00016497695125978066	AD
0.0006592569475626061	0.0012925322188838077	0.0016423259077560687	0.0008907170281720375	0.001943655260167231	0.0001795539498787609	0.00010437344915941216	0.00015796269865468973	0.00021740428632335848	0.00011913192701543517	0.0001700037945272626	0.00019262498369146898	0.00015398596954850397	0.000264509380513015	0.00020606099381457386	1.0908601435617276e-05	0.0001463944082797977	AD
0.0006226859899167325	0.001583254266970694	0.002072057692022265	0.0010018433885274594	0.0018587045134077869	0.0001596237713199396	8.146680646918266e-05	0.00016292473587149736	0.00036354662192791365	0.00011553076823397078	0.0001990710824010902	0.00019145556270105555	0.0001406462432914557	0.00028547489802165663	0.00013549396193426262	0.0	0.00012854649998272482	AD
0.0006809270758243339	0.0013529538060238317	0.0018912340953353788	0.0009613197865744479	0.001954194026166528	0.00018936618519988522	0.00010256285888167848	0.0001787786293746858	0.00029128442692490623	0.00013707117291806436	0.0001739717624784468	0.0001824849795778654	0.00015385662067332828	0.0002604051389303288	0.00017476968807826198	0.0	0.00019412349912143487	AD
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AD
