disease	alpha	l1_ratio	pearson_r	mse	r2	model_run	r2_mean	pearson_r_mean	mse_mean
AD	10.0	0.0001	0.08119523826703136	26.665936731914908	-0.003075473212571067	10.00000-0.00010	-0.0018965914134558392	0.09203616235353634	22.456350353119106
AD	10.0	0.0001	0.11078559196485334	21.722301915037356	-0.0003631128305738862	10.00000-0.00010	-0.0018965914134558392	0.09203616235353634	22.456350353119106
AD	10.0	0.0001	0.09656737886999392	21.61296898100231	-0.00021704310310655117	10.00000-0.00010	-0.0018965914134558392	0.09203616235353634	22.456350353119106
AD	10.0	0.0001	0.07242622317812925	23.421899339195345	-0.00017203211742078395	10.00000-0.00010	-0.0018965914134558392	0.09203616235353634	22.456350353119106
AD	10.0	0.0001	0.06962012014505867	22.803601895281233	-0.005095286604185567	10.00000-0.00010	-0.0018965914134558392	0.09203616235353634	22.456350353119106
AD	10.0	0.0001	0.09932747785575156	21.458631647556572	-0.0073037277666061495	10.00000-0.00010	-0.0018965914134558392	0.09203616235353634	22.456350353119106
AD	10.0	0.0001	0.05254089147647169	21.879959526580848	-0.0014889053726825363	10.00000-0.00010	-0.0018965914134558392	0.09203616235353634	22.456350353119106
AD	10.0	0.0001	0.0920598478244951	21.68228734459547	-0.0007849104962787123	10.00000-0.00010	-0.0018965914134558392	0.09203616235353634	22.456350353119106
AD	9.111627561154895	0.99	0.0	21.84857143662894	-2.4518823797947675e-06	9.11163-0.99000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.99	0.0	21.46754883421948	-0.0004724000423412811	9.11163-0.99000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.99	0.0	26.666021292038735	-0.00307865405662211	9.11163-0.99000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.99	0.0	21.72241205810127	-0.0003681851778190026	9.11163-0.99000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.99	0.0	21.613071007349845	-0.0002217647353699448	9.11163-0.99000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.99	0.0	23.42198485526751	-0.00017568386156141536	9.11163-0.99000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.99	0.0	22.803678156811934	-0.005098647919884902	9.11163-0.99000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.99	0.0	21.458739476557536	-0.0073087894385905905	9.11163-0.99000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.99	0.0	21.88002261331125	-0.0014917929767703786	9.11163-0.99000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.99	0.0	21.68238667436931	-0.0007894952403717514	9.11163-0.99000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.95	0.0	21.84857143662894	-2.4518823797947675e-06	9.11163-0.95000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.95	0.0	21.46754883421948	-0.0004724000423412811	9.11163-0.95000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.95	0.0	26.666021292038735	-0.00307865405662211	9.11163-0.95000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.95	0.0	21.72241205810127	-0.0003681851778190026	9.11163-0.95000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.95	0.0	21.613071007349845	-0.0002217647353699448	9.11163-0.95000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.95	0.0	23.42198485526751	-0.00017568386156141536	9.11163-0.95000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.95	0.0	22.803678156811934	-0.005098647919884902	9.11163-0.95000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.95	0.0	21.458739476557536	-0.0073087894385905905	9.11163-0.95000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.95	0.0	21.88002261331125	-0.0014917929767703786	9.11163-0.95000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.95	0.0	21.68238667436931	-0.0007894952403717514	9.11163-0.95000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.9	0.0	21.84857143662894	-2.4518823797947675e-06	9.11163-0.90000	-0.001900786533171117	0.0	22.456443640465583
AD	9.111627561154895	0.9	0.0	21.46754883421948	-0.0004724000423412811	9.11163-0.90000	-0.001900786533171117	0.0	22.456443640465583
